频率 (Hz)	电平 (dB)
4640.625000	-39.705482
4687.500000	-37.074379
4734.375000	-38.275879
4781.250000	-41.122208
4828.125000	-39.847054
4875.000000	-41.677551
4921.875000	-42.690002
4968.750000	-40.974335
5015.625000	-39.629536
5062.500000	-41.664616
5109.375000	-41.647518
5156.250000	-41.502228
5203.125000	-41.358757
5250.000000	-39.362358
5296.875000	-39.465202
5343.750000	-41.283325
5390.625000	-40.630180
5437.500000	-41.331245
5484.375000	-44.959595
5531.250000	-42.235336
5578.125000	-42.471191
5625.000000	-41.446358
5671.875000	-42.052456
5718.750000	-43.883987
5765.625000	-43.206333
5812.500000	-42.828674
5859.375000	-42.427040
5906.250000	-41.682079
5953.125000	-44.583794
6000.000000	-45.210865
6046.875000	-43.826847
6093.750000	-44.323959
6140.625000	-45.904110
6187.500000	-42.706207
6234.375000	-40.475941
6281.250000	-41.105129
6328.125000	-43.083778
6375.000000	-45.363178
6421.875000	-46.251965
6468.750000	-47.014988
6515.625000	-46.702267
6562.500000	-44.329899
6609.375000	-44.610912
6656.250000	-45.886093
6703.125000	-45.262501
6750.000000	-44.632141
6796.875000	-44.883617
6843.750000	-44.697830
6890.625000	-44.269974
6937.500000	-46.346321
6984.375000	-43.779560
7031.250000	-41.649586
7078.125000	-41.491901
7125.000000	-44.080021
7171.875000	-43.971245
7218.750000	-45.023075
7265.625000	-45.888962
7312.500000	-45.144104
7359.375000	-44.767227
7406.250000	-45.439976
7453.125000	-45.854683
7500.000000	-47.404629
7546.875000	-48.231716
7593.750000	-46.991592
7640.625000	-45.250759
7687.500000	-46.610367
7734.375000	-46.083794
7781.250000	-48.898983
7828.125000	-49.900723
7875.000000	-47.917648
7921.875000	-47.677483
7968.750000	-48.463043
8015.625000	-48.359154
8062.500000	-48.519981
8109.375000	-45.827148
8156.250000	-45.396526
8203.125000	-47.869457
8250.000000	-46.515385
8296.875000	-47.210114
8343.750000	-47.229214
8390.625000	-45.833344
8437.500000	-47.426937
8484.375000	-49.551109
8531.250000	-49.209976
8578.125000	-48.300232
8625.000000	-48.472649
8671.875000	-49.043789
8718.750000	-50.288448
8765.625000	-48.951439
8812.500000	-48.308353
8859.375000	-47.535038
8906.250000	-48.215340
8953.125000	-48.718861
9000.000000	-51.136616
9046.875000	-48.193878
9093.750000	-49.195107
9140.625000	-50.401329
9187.500000	-49.663490
9234.375000	-50.995766
9281.250000	-49.099461
9328.125000	-46.424549
9375.000000	-48.519928
9421.875000	-48.835995
9468.750000	-50.876225
9515.625000	-51.021107
9562.500000	-50.281994
9609.375000	-51.926178
9656.250000	-53.530193
9703.125000	-52.676132
9750.000000	-53.194752
9796.875000	-52.200001
9843.750000	-52.156380
9890.625000	-51.591946
9937.500000	-51.830135
9984.375000	-51.878361
10031.250000	-50.900539
10078.125000	-49.732265
10125.000000	-50.557560
10171.875000	-52.229984
10218.750000	-51.889374
10265.625000	-50.871902
10312.500000	-50.537624
10359.375000	-50.230701
10406.250000	-51.810932
10453.125000	-53.079048
10500.000000	-52.587627
10546.875000	-51.491032
10593.750000	-51.726639
10640.625000	-53.224312
10687.500000	-55.017761
10734.375000	-52.106045
10781.250000	-51.337467
10828.125000	-52.808197
10875.000000	-54.096397
10921.875000	-55.770870
10968.750000	-55.927345
11015.625000	-53.720726
11062.500000	-51.556709
11109.375000	-52.735828
11156.250000	-53.097523
11203.125000	-52.298046
11250.000000	-53.045650
11296.875000	-52.351746
11343.750000	-53.248821
11390.625000	-51.188412
11437.500000	-52.109772
11484.375000	-54.386028
11531.250000	-56.077591
11578.125000	-55.481987
11625.000000	-55.618412
11671.875000	-56.508564
11718.750000	-51.384350
11765.625000	-49.544510
11812.500000	-54.726719
11859.375000	-55.877827
11906.250000	-55.707664
11953.125000	-55.893810
12000.000000	-55.282249
12046.875000	-54.397724
12093.750000	-56.528610
12140.625000	-55.154469
12187.500000	-54.119389
12234.375000	-53.618465
12281.250000	-55.702114
12328.125000	-56.446850
12375.000000	-57.405338
12421.875000	-55.438000
12468.750000	-55.960976
12515.625000	-55.797764
12562.500000	-55.173206
12609.375000	-55.443855
12656.250000	-56.197170
12703.125000	-57.396671
12750.000000	-58.530910
12796.875000	-58.329475
12843.750000	-59.927773
12890.625000	-60.588062
12937.500000	-59.023830
12984.375000	-58.396671
13031.250000	-59.468212
13078.125000	-59.174576
13125.000000	-56.733768
13171.875000	-55.661995
13218.750000	-56.420429
13265.625000	-58.562790
13312.500000	-60.466961
13359.375000	-58.600574
13406.250000	-57.386501
13453.125000	-56.256222
13500.000000	-56.523617
13546.875000	-56.539711
13593.750000	-57.419273
13640.625000	-59.394859
13687.500000	-58.836452
13734.375000	-60.745922
13781.250000	-60.677784
13828.125000	-59.882015
13875.000000	-59.525932
13921.875000	-57.371208
13968.750000	-59.230156
14015.625000	-61.361412
14062.500000	-60.347923
14109.375000	-61.148285
14156.250000	-61.024883
14203.125000	-62.455364
14250.000000	-59.465912
14296.875000	-58.643921
14343.750000	-58.786739
14390.625000	-58.370014
14437.500000	-59.409492
14484.375000	-60.563423
14531.250000	-59.515949
14578.125000	-62.223877
14625.000000	-62.815804
14671.875000	-61.600353
14718.750000	-62.668556
14765.625000	-63.041000
14812.500000	-62.686134
14859.375000	-62.952835
14906.250000	-63.677608
14953.125000	-64.378899
15000.000000	-62.575481
15046.875000	-61.901886
15093.750000	-61.331249
15140.625000	-61.403873
15187.500000	-63.305721
15234.375000	-63.629318
15281.250000	-61.774612
15328.125000	-60.547733
15375.000000	-59.878017
15421.875000	-59.681446
15468.750000	-62.027672
15515.625000	-62.231155
15562.500000	-62.894428
15609.375000	-64.365089
15656.250000	-65.834297
15703.125000	-64.735909
15750.000000	-64.183784
15796.875000	-64.172188
15843.750000	-64.421234
15890.625000	-65.666718
15937.500000	-65.031403
15984.375000	-66.249107
16031.250000	-70.066902
16078.125000	-72.487030
16125.000000	-71.770065
16171.875000	-72.326454
16218.750000	-70.382034
16265.625000	-67.030815
16312.500000	-65.609985
16359.375000	-65.775177
16406.250000	-65.987045
16453.125000	-67.055122
16500.000000	-65.371964
16546.875000	-64.748878
16593.750000	-64.259361
16640.625000	-64.667473
16687.500000	-68.513092
16734.375000	-67.567955
16781.250000	-69.373444
16828.125000	-69.088081
16875.000000	-67.139313
16921.875000	-64.859741
16968.750000	-65.584251
17015.625000	-65.933907
17062.500000	-64.318657
17109.375000	-62.908920
17156.250000	-64.063560
17203.125000	-67.969658
17250.000000	-67.253670
17296.875000	-65.406479
17343.750000	-63.106407
17390.625000	-63.237751
17437.500000	-66.081306
17484.375000	-64.888298
17531.250000	-62.827122
17578.125000	-62.380322
17625.000000	-61.835823
17671.875000	-63.920292
17718.750000	-66.737190
17765.625000	-64.138535
17812.500000	-62.323505
17859.375000	-61.257351
17906.250000	-60.496765
17953.125000	-61.839840
18000.000000	-64.644104
18046.875000	-64.432831
18093.750000	-63.623062
18140.625000	-62.450512
18187.500000	-63.854687
18234.375000	-62.705528
18281.250000	-60.755009
18328.125000	-63.195808
18375.000000	-66.048149
18421.875000	-64.583481
18468.750000	-63.676533
18515.625000	-61.003208
18562.500000	-59.959484
18609.375000	-58.933601
18656.250000	-59.508610
18703.125000	-62.635151
18750.000000	-64.709671
18796.875000	-64.600700
18843.750000	-67.067162
18890.625000	-73.032394
18937.500000	-83.793846
18984.375000	-91.569145
19031.250000	-99.117851
19078.125000	-107.952568
19125.000000	-112.483063
19171.875000	-116.015640
19218.750000	-117.591438
19265.625000	-121.353973
19312.500000	-123.425781
19359.375000	-125.733910
19406.250000	-122.085518
19453.125000	-119.231354
19500.000000	-124.152306
19546.875000	-125.201897
19593.750000	-123.772514
19640.625000	-129.122498
19687.500000	-125.239227
19734.375000	-123.060081
19781.250000	-126.744087
19828.125000	-128.720093
19875.000000	-134.220795
19921.875000	-128.413498
19968.750000	-126.006882
20015.625000	-132.353134
20062.500000	-135.198929
20109.375000	-134.479462
20156.250000	-133.824112
20203.125000	-133.521561
20250.000000	-135.735016
20296.875000	-137.656021
20343.750000	-135.505585
20390.625000	-131.234055
20437.500000	-130.542938
20484.375000	-131.053864
20531.250000	-127.054504
20578.125000	-131.448273
20625.000000	-133.819153
20671.875000	-125.774406
20718.750000	-126.129211
20765.625000	-127.054832
20812.500000	-131.646622
20859.375000	-131.257355
20906.250000	-121.109627
20953.125000	-119.217178
21000.000000	-123.844536
21046.875000	-123.341164
21093.750000	-128.194366
21140.625000	-133.374115
21187.500000	-133.384521
21234.375000	-133.486618
21281.250000	-133.888412
21328.125000	-132.340714
21375.000000	-133.314819
21421.875000	-128.215622
21468.750000	-123.899170
21515.625000	-130.032944
21562.500000	-133.289047
21609.375000	-133.392883
21656.250000	-135.605698
21703.125000	-134.392120
21750.000000	-135.239609
21796.875000	-137.450531
21843.750000	-133.475372
21890.625000	-131.404434
21937.500000	-133.404572
21984.375000	-135.660782
22031.250000	-133.326767
22078.125000	-135.201324
22125.000000	-133.014450
22171.875000	-127.351227
22218.750000	-129.115005
22265.625000	-132.058411
22312.500000	-129.451767
22359.375000	-125.661514
22406.250000	-123.288544
22453.125000	-120.044540
22500.000000	-124.476250
22546.875000	-126.779045
22593.750000	-124.493393
22640.625000	-128.714844
22687.500000	-130.279694
22734.375000	-127.653488
22781.250000	-131.610764
22828.125000	-133.872009
22875.000000	-134.087585
22921.875000	-134.429810
22968.750000	-133.620728
23015.625000	-136.722260
23062.500000	-127.996376
23109.375000	-125.884949
23156.250000	-128.883011
23203.125000	-133.187698
23250.000000	-135.993561
23296.875000	-136.465515
23343.750000	-135.510773
23390.625000	-131.133423
23437.500000	-131.703125
23484.375000	-132.731720
23531.250000	-127.172386
23578.125000	-130.064117
23625.000000	-131.800720
23671.875000	-132.029984
23718.750000	-133.976547
23765.625000	-136.812561
23812.500000	-134.699219
23859.375000	-127.315125
23906.250000	-118.046959
23953.125000	-117.837440
